person,state,district,vote,name,party,matched-name,twitter-handle,matched-state,matched-party
412295,CA,4,Nay,"Rep. Tom McClintock [R, 2009-2022]",Republican,"McClintock, Tom",repmcclintock,CA,R
412307,ME,1,Yea,"Rep. Chellie Pingree [D, 2009-2024]",Democrat,"Pingree, Chellie",chelliepingree,ME,D
412309,FL,8,Nay,"Rep. Bill Posey [R, 2013-2024]",Republican,"Posey, Bill",congbillposey,FL,R
412315,OR,5,Nay,"Rep. Kurt Schrader [D, 2009-2022]",Democrat,Kurt Schrader D-OR,repschrader,OR,D
412317,PA,15,Nay,"Rep. Glenn Thompson [R, 2019-2024]",Republican,"Thompson, Glenn",congressmangt,PA,R
412318,NV,1,Yea,"Rep. Dina Titus [D, 2013-2024]",Democrat,Dina Titus D-NV,repdinatitus,NV,D
412319,NY,20,Yea,"Rep. Paul Tonko [D, 2013-2024]",Democrat,Paul Tonko D-NY,reppaultonko,NY,D
412327,OH,11,Yea,"Rep. Marcia Fudge [D, 2008-2021]",Democrat,Marcia Fudge D-OH,repmarciafudge,OH,D
412331,IL,5,Yea,"Rep. Mike Quigley [D, 2009-2024]",Democrat,Mike Quigley D-IL,repmikequigley,IL,D
412379,CA,27,Yea,"Rep. Judy Chu [D, 2013-2022]",Democrat,"Chu, Judy",repjudychu,CA,D
412382,CA,3,Yea,"Rep. John Garamendi [D, 2013-2022]",Democrat,"Garamendi, John",repgaramendi,CA,D
412385,FL,22,Yea,"Rep. Theodore “Ted” Deutch [D, 2017-2022]",Democrat,Ted Deutch D-FL,repteddeutch,FL,D
412393,NY,23,Nay,"Rep. Tom Reed [R, 2013-2022]",Republican,Tom Reed R-NY,reptomreed,NY,R
412395,AL,5,Nay,"Rep. Mo Brooks [R, 2011-2022]",Republican,Mo Brooks R-AL,repmobrooks,AL,R
412396,AL,7,Yea,"Rep. Terri Sewell [D, 2011-2024]",Democrat,"Sewell, Terri A.",repterrisewell,AL,D
412397,AZ,4,Nay,"Rep. Paul Gosar [R, 2013-2022]",Republican,"Gosar, Paul ",repgosar,AZ,R
412399,AZ,6,Nay,"Rep. David Schweikert [R, 2013-2022]",Republican,David Schweikert R-AZ,repdavid,AZ,R
412400,AR,1,Nay,"Rep. Eric “Rick” Crawford [R, 2011-2024]",Republican,"Crawford, Rick",reprickcrawford,AR,R
412402,AR,3,Nay,"Rep. Steve Womack [R, 2011-2024]",Republican,Steve Womack R-AR,rep_stevewomack,AR,R
412404,CA,37,Yea,"Rep. Karen Bass [D, 2013-2022]",Democrat,Karen Bass D-CA,repkarenbass,CA,D
412410,FL,11,Nay,"Rep. Daniel Webster [R, 2017-2024]",Republican,Daniel Webster R-FL,repwebster,FL,R
412412,FL,24,Yea,"Rep. Frederica Wilson [D, 2013-2024]",Democrat,Frederica Wilson D-FL,repwilson,FL,D
412417,GA,8,Nay,"Rep. Austin Scott [R, 2011-2024]",Republican,"Scott, Austin",austinscottga08,GA,R
412421,IL,16,Nay,"Rep. Adam Kinzinger [R, 2013-2022]",Republican,Adam Kinzinger R-IL,repkinzinger,IL,R
