person,state,district,vote,name,party,matched-name,twitter-handle,matched-state,matched-party
412669,SD,,Yea,Sen. Mike Rounds [R],Republican,Mike Rounds R-SD,senatorrounds,SD,R
412679,LA,,Yea,Sen. John Neely Kennedy [R],Republican,John Kennedy R-LA,senjohnkennedy,LA,R
412680,NH,,Yea,Sen. Margaret “Maggie” Hassan [D],Democrat,"Hassan, Maggie",senatorhassan,NH,D
412681,NV,,Not Voting,Sen. Catherine Cortez Masto [D],Democrat,Catherine Masto D-NV,sencortezmasto,NV,D
412704,KS,,Nay,Sen. Roger Marshall [R],Republican,,,,
412712,NC,,Yea,Sen. Ted Budd [R],Republican,"Budd, Ted",sentedbuddnc,NC,R
412715,NV,,Yea,Sen. Jacky Rosen [D],Democrat,Jacky Rosen D-NV,senjackyrosen,NV,D
412742,MN,,Yea,Sen. Tina Smith [D],Democrat,"Smith, Tina",sentinasmith,MN,D
412743,MS,,Yea,Sen. Cindy Hyde-Smith [R],Republican,Cindy Hyde-Smith R-MS,senhydesmith,MS,R
412838,FL,,Nay,Sen. Rick Scott [R],Republican,"Franklin, C. Scott",repfranklin,FL,R
412839,IN,,Nay,Sen. Mike Braun [R],Republican,"Braun, Mike",senatorbraun,IN,R
412840,MO,,Nay,Sen. Joshua “Josh” Hawley [R],Republican,"Hawley, Josh",hawleymo,MO,R
412841,UT,,Yea,Sen. Mitt Romney [R],Republican,Mitt Romney R-UT,senatorromney,UT,R
456794,AZ,,Yea,Sen. Mark Kelly [D],Democrat,"Kelly, Mark",senmarkkelly,AZ,D
456796,AL,,Nay,Sen. Tommy Tuberville [R],Republican,Tommy Tuberville R-AL,sentuberville,AL,R
456797,CO,,Yea,Sen. John Hickenlooper [D],Democrat,"Hickenlooper, John ",senatorhick,CO,D
456798,TN,,Nay,Sen. Bill Hagerty [R],Republican,Bill Hagerty R-TN,senatorhagerty,TN,R
456856,CA,,Yea,Sen. Alejandro “Alex” Padilla [D],Democrat,Alex Padilla D-CA,senalexpadilla,CA,D
456857,GA,,Yea,Sen. Jon Ossoff [D],Democrat,Jon Ossoff D-GA,senossoff,GA,D
456858,GA,,Not Voting,Sen. Raphael Warnock [D],Democrat,Raphael Warnock D-GA,senatorwarnock,GA,D
456874,AL,,Yea,Sen. Katie Britt [R],Republican,"Britt, Katie ",senkatiebritt,AL,R
456875,MO,,Not Voting,Sen. Eric Schmitt [R],Republican,"Schmitt, Eric",senericschmitt,MO,R
456876,OH,,Not Voting,Sen. J.D. (James) Vance [R],Republican,"Vance, J.D. ",senvancepress,OH,R
456877,PA,,Yea,Sen. John Fetterman [D],Democrat,"Fetterman, John",senfettermanpa,PA,D
456952,NE,,Yea,Sen. Pete Ricketts [R],Republican,"Ricketts, Pete",senatorricketts,NE,R
456954,CA,,Nay,Sen. Laphonza Butler [D],Democrat,"Butler, Laphonza",senlaphonza,CA,D
